1028379	90	67	98	186	149	158
1303780	94	58	101	184	143	175
2004644	97	78	97	178	140	182
2187025	105	72	83	189	143	161
2258385	97	67	108	198	146	183
2416728	97	70	103	190	141	183
2603479	108	68	100	205	145	171
2630856	98	60	90	184	143	169
2835399	95	65	105	181	139	176
2887222	101	73	96	177	141	177
2997777	94	66	97	202	158	165
3028516	97	70	91	178	135	179
3104873	99	64	91	182	146	170
3271368	95	73	103	186	149	186
3325440	104	62	91	190	142	172
3346350	99	55	99	195	146	162
3350002	97	61	102	182	133	170
3433064	99	62	101	183	139	169
3595426	106	65	97	183	135	176
3610167	97	57	94	181	156	160
3614648	104	76	93	193	153	166
3625595	96	70	91	181	145	174
3634407	103	56	96	180	132	176
3640930	105	72	83	188	143	154
3642859	91	60	86	190	141	162
4050696	105	64	77	191	147	148
4055772	105	56	88	185	141	162
4355386	101	70	98	187	135	190
4369074	101	63	94	187	150	164
4386989	97	67	99	183	149	170
5016157	70	46	86	135	99	152
5119900	60	47	84	142	121	147
5336581	71	50	91	122	100	144
5573243	65	42	98	128	100	175
5696679	77	42	77	140	107	139
5701566	78	51	102	125	93	180
5845886	69	57	88	132	104	167
5876303	70	44	88	146	105	155
5971199	78	50	95	136	105	173
7141978	74	53	92	123	103	176
7357032	70	52	104	123	98	181
7358369	70	50	93	124	99	181
7370748	69	49	98	123	89	189
7383764	68	51	100	125	98	180
7391528	70	53	89	126	104	161
7391622	70	52	102	122	98	177
7391637	69	50	102	127	95	177
7391891	71	44	99	129	99	171
7394277	67	49	101	125	94	174
7399689	61	52	87	133	109	170
7403621	74	48	106	143	116	164
7405817	76	49	92	140	102	159
7414189	72	57	96	126	104	174
7437277	77	50	90	142	110	155
7444873	72	51	94	114	92	168
7453332	76	47	99	147	109	180
7466416	75	49	86	140	107	154
7471501	74	52	87	135	101	171
7489387	74	45	85	144	107	159
7495647	74	49	82	144	107	151
7501056	76	48	98	81	98	178
7519736	70	52	101	128	102	174
